,0,1,2
0,5012.0,21096.0,1.0
1,4018.0,20443.0,0.0
2,4109.0,20068.0,1.0
3,4863.0,19592.0,1.0
4,3043.0,18934.0,0.0
5,1669.0,19486.0,1.0
6,1851.0,19041.0,0.0
7,1737.0,19506.0,1.0
8,472.0,20501.0,0.0
9,1593.0,21222.0,1.0
10,4618.0,20299.0,1.0
11,3468.0,18896.0,1.0
12,522.0,20991.0,0.0
13,4904.0,21082.0,0.0
14,4814.0,20583.0,0.0
15,4524.0,19154.0,0.0
16,1240.0,21118.0,0.0
17,1320.0,21051.0,0.0
18,196.0,20652.0,0.0
19,4402.0,19059.0,0.0
20,1749.0,19763.0,0.0
21,1379.0,20250.0,1.0
22,4127.0,19495.0,1.0
23,2895.0,20438.0,1.0
24,2051.0,20389.0,1.0
25,575.0,20045.0,0.0
26,2174.0,20015.0,0.0
27,5263.0,20896.0,0.0
28,1123.0,19441.0,1.0
29,2663.0,19374.0,1.0
30,5054.0,20281.0,0.0
31,5569.0,19964.0,1.0
32,5802.0,19863.0,1.0
33,5857.0,20009.0,1.0
34,2487.0,18837.0,1.0
35,3580.0,20642.0,0.0
36,3768.0,19901.0,0.0
37,2811.0,20744.0,0.0
38,2377.0,20879.0,0.0
39,3794.0,20598.0,1.0
40,1207.0,20733.0,0.0
41,4684.0,19591.0,1.0
42,2671.0,19774.0,0.0
43,5386.0,19508.0,0.0
44,3177.0,19158.0,1.0
45,769.0,20289.0,0.0
46,2654.0,20996.0,0.0
47,1750.0,19157.0,1.0
48,1217.0,19505.0,1.0
49,3320.0,19899.0,0.0
50,378.0,20350.0,1.0
51,5431.0,20420.0,0.0
52,5847.0,20187.0,1.0
53,4367.0,19407.0,0.0
54,3122.0,20775.0,1.0
55,5449.0,19455.0,1.0
56,2285.0,19651.0,0.0
57,4698.0,20817.0,0.0
58,2363.0,20636.0,0.0
59,4422.0,20033.0,1.0
60,1056.0,19695.0,1.0
61,5204.0,19684.0,1.0
62,1996.0,21029.0,0.0
63,2642.0,20560.0,0.0
64,4132.0,20794.0,1.0
65,2883.0,20793.0,1.0
66,4875.0,20584.0,0.0
67,4123.0,20229.0,0.0
68,1378.0,19037.0,1.0
69,4579.0,18952.0,1.0
70,3652.0,20209.0,1.0
71,2373.0,19593.0,1.0
72,3715.0,21255.0,0.0
73,5652.0,19855.0,0.0
