,0,1,2
0,5724.0,21041.0,1.0
1,3659.0,19816.0,1.0
2,3095.0,19012.0,1.0
3,5516.0,21106.0,0.0
4,3300.0,20612.0,1.0
5,2890.0,19424.0,1.0
6,2709.0,19751.0,1.0
7,2217.0,20367.0,0.0
8,3866.0,19961.0,1.0
9,958.0,21062.0,1.0
10,5876.0,19610.0,0.0
11,4878.0,19216.0,1.0
12,1152.0,18833.0,0.0
13,2253.0,18864.0,0.0
14,4126.0,19001.0,0.0
15,3616.0,20314.0,1.0
16,1389.0,19068.0,1.0
17,4669.0,20052.0,0.0
18,2047.0,19584.0,0.0
19,1371.0,20993.0,1.0
20,1613.0,19727.0,0.0
21,5314.0,20342.0,0.0
22,4398.0,19536.0,1.0
23,890.0,19633.0,1.0
24,205.0,20423.0,0.0
25,3127.0,18904.0,0.0
26,4160.0,21125.0,0.0
27,4011.0,20151.0,1.0
28,4464.0,19576.0,0.0
29,4769.0,19178.0,0.0
30,5649.0,21152.0,0.0
31,2459.0,21149.0,0.0
32,4107.0,20732.0,0.0
33,4168.0,20379.0,0.0
34,5265.0,19004.0,0.0
35,5853.0,20612.0,1.0
36,3852.0,20728.0,1.0
37,1443.0,19430.0,0.0
38,4463.0,20624.0,1.0
39,3152.0,20994.0,1.0
40,2748.0,21213.0,0.0
41,3650.0,20323.0,0.0
42,4067.0,20913.0,0.0
43,3395.0,19751.0,1.0
44,2747.0,21247.0,0.0
45,1007.0,20972.0,0.0
46,2181.0,20319.0,0.0
47,4575.0,20340.0,0.0
48,5959.0,21078.0,0.0
49,2821.0,19771.0,0.0
50,1585.0,20186.0,0.0
51,5193.0,20033.0,1.0
52,1924.0,19990.0,1.0
53,4757.0,21133.0,0.0
54,139.0,19410.0,1.0
55,4729.0,20314.0,1.0
56,686.0,19131.0,0.0
57,2470.0,19892.0,0.0
58,1175.0,19755.0,1.0
59,4736.0,19006.0,1.0
60,5066.0,19506.0,0.0
61,5704.0,19455.0,1.0
62,3605.0,20259.0,0.0
63,5307.0,21126.0,1.0
64,5525.0,20377.0,1.0
65,1776.0,19630.0,0.0
66,1883.0,19747.0,1.0
67,5204.0,21096.0,1.0
68,990.0,20894.0,0.0
69,1310.0,21268.0,0.0
70,3306.0,19281.0,1.0
71,833.0,20076.0,1.0
72,804.0,19353.0,0.0
73,4601.0,21102.0,0.0
74,730.0,20121.0,1.0
75,395.0,19754.0,0.0
76,1879.0,19264.0,0.0
77,1926.0,19701.0,1.0
78,4112.0,18988.0,0.0
79,4391.0,20268.0,0.0
80,5099.0,21172.0,0.0
81,1889.0,19347.0,1.0
82,1827.0,20652.0,0.0
83,29.0,19903.0,0.0
84,5191.0,20314.0,1.0
85,609.0,20163.0,1.0
86,4133.0,19726.0,1.0
87,3417.0,20658.0,0.0
88,1366.0,19121.0,1.0
89,373.0,21040.0,1.0
90,1135.0,21167.0,0.0
91,5272.0,21191.0,1.0
92,1996.0,19351.0,0.0
93,4678.0,20320.0,0.0
94,1558.0,20533.0,0.0
95,515.0,20778.0,0.0
96,3669.0,19527.0,1.0
97,1169.0,19650.0,0.0
98,3531.0,20831.0,1.0
99,1753.0,20637.0,0.0
